Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Beer Braised Beef Brisket,South,Dinner,Gluten,['Less Sodium'],2023-01-19,328,4 OZ,25.7g,1.2g,10.4g,0.3g,0g,0g,105.4mg,0g,440.2mg,21.2g,24.4mg,2.1mg,0mcg,346mg
Garlic Fried Rice (Sinangag),South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,129,4 OZ,0.9g,27g,0.1g,0.1g,0g,0.1g,0mg,0g,94.3mg,3g,31.8mg,1.5mg,0mcg,74.4mg
Onion Roll,South,Dinner,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,170,1 EACH,2.5g,33g,0.5g,1g,g,4g,25mg,0g,150mg,6g,24mg,1.8mg,0mcg,mg
Roasted Cauliflower,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,105,3 OZ,8.6g,6.6g,1.3g,2.5g,0g,2.4g,0mg,0g,189.9mg,2.4g,29.9mg,0.6mg,0mcg,373.8mg
Texas Roasted Vegetables,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,34,3 OZ,1.4g,5.3g,0.2g,0.8g,0g,2.4g,0mg,0g,49.5mg,1g,12.2mg,0.3mg,0mcg,211.1mg
Pasta Bar,South,Dinner,,[],2023-01-19,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Marinara Sauce,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Pumpkin Spice Sweet Potato Curry,South,Dinner,Coconut,"['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,121,4 OZL,5.5g,16.5g,2g,2.1g,0g,4.7g,0mg,0g,314.7mg,2.4g,37mg,1.1mg,0mcg,369.9mg
Spicy Garlic Chickpeas,South,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-19,163,4 OZ,11.4g,13.1g,1.4g,0g,0g,1.8g,0mg,0g,165mg,3.7g,38.5mg,1mg,0mcg,141.1mg
Coconut Custard Pie,South,Dinner,"Milk, Eggs, Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).",['Vegetarian'],2023-01-19,338,1/8 PIE,17.5g,40g,6.3g,0g,0g,18.8g,87.5mg,15g,512.5mg,7.5g,103.8mg,1.3mg,0mcg,156.3mg
Cheesy Scrambled Eggs,South,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,158,3 OZ,10.5g,0g,4.4g,0g,0g,0g,305.6mg,0g,166.5mg,12.5g,104.3mg,1.9mg,1.7mcg,113.5mg
Hard Boiled Eggs,South,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Mini Potato Pancakes,South,Breakfast,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-20,216,4 OZ,13.7g,23.9g,1.3g,1.5g,0g,1.5g,0mg,0g,552.1mg,1.5g,0mg,0mg,mcg,358.1mg
