Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Samosas With Eggplant Pepper Spread,McMahon,Lunch,"Milk, Wheat, Gluten",['Vegetarian'],2023-01-24,596,1 PLATE,35.6g,62g,1.6g,4.9g,0g,2.2g,0.1mg,0g,1082.1mg,8.6g,17.3mg,3.6mg,0mcg,77.2mg
Chef's Choice Soup du Jour,McMahon,Lunch,,[],2023-01-24,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Chipotle Buttermilk Chicken,McMahon,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,94,1 EACH,2.2g,1.3g,0.5g,0g,0g,0.7g,48.6mg,0g,297.3mg,17.7g,20.4mg,0.4mg,0mcg,28.6mg
Fried Curried Chickpeas,McMahon,Lunch,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,158,2 OZ,11.8g,11.8g,0.8g,0.4g,0g,1.7g,0mg,0g,409.1mg,3.4g,25.7mg,1mg,0mcg,129mg
Tabouleh,McMahon,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,141,3 OZ,10.2g,12.3g,1.4g,0.4g,0g,1.2g,0mg,0g,232.1mg,2.2g,12.4mg,0.7mg,0mcg,92.9mg
Avocado Ranch Dressing,McMahon,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,265,2 OZ,27.9g,2.3g,2.8g,0g,0g,1g,0.2mg,0g,262.7mg,0.9g,17.3mg,0.2mg,0mcg,109.6mg
Cobb Salad,McMahon,Lunch,"Milk, Eggs",['Gluten Friendly'],2023-01-24,184,1 BOWL,12.8g,5g,6.4g,1.8g,0g,2.6g,128.3mg,0g,504.4mg,13.1g,163.8mg,1.4mg,0mcg,415.9mg
Grilled Italian Chicken,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,100,1 EACH,3.6g,0.5g,0.8g,0g,0g,0.3g,48.3mg,0g,183.4mg,17.2g,0mg,0.4mg,0mcg,mg
Beef Kaldereta,McMahon,Lunch,,"['Gluten Friendly', 'Smart Check']",2023-01-24,190,6 OZL,5.5g,17.8g,1.5g,1.6g,0g,5.8g,44mg,0g,659.4mg,16.9g,40mg,2.4mg,0.1mcg,613.6mg
White Rice,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Ajvar,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,42,2 OZ,2.1g,5.2g,0.3g,0.6g,0g,1.9g,0mg,0g,126.2mg,0.4g,6.8mg,0.5mg,0mcg,39.4mg
Mint Chutney,McMahon,Lunch,Milk,"['Gluten Friendly', 'Vegetarian']",2023-01-24,10,1 OZL,0.2g,1.5g,0.1g,0.6g,0g,0.6g,0.3mg,0g,312mg,0.5g,20.9mg,0.3mg,0.1mcg,75.7mg
Pea and Potato Samosa,McMahon,Lunch,"Wheat, Gluten","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,549,4 EACH,33.4g,56g,1.2g,4g,0g,0g,0mg,0g,800mg,8g,0mg,2.9mg,0mcg,mg
BBQ Chicken Pizza,McMahon,Lunch,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-24,316,1 PLATE,15g,24.7g,6.6g,0.9g,0g,1.6g,53mg,0.5g,521mg,19.7g,203.9mg,1.8mg,0mcg,49.9mg
Cheese Pizza,McMahon,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
M & M Cookies,McMahon,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,160,1 EACH,7g,24g,3.5g,1g,0g,15g,10mg,0g,140mg,2g,0mg,0.7mg,0mcg,35mg
Snickerdoodle Cookies,McMahon,Lunch,"Milk, Eggs, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,171,1 EACH,7.2g,25.4g,4.1g,0.1g,0g,14.9g,15.4mg,1.6g,143.8mg,2.1g,4mg,0.8mg,0mcg,36.9mg
Yakitori Chicken,McMahon,Dinner,"Wheat, Soybeans, Sesame","['Gluten Friendly', 'Smart Check']",2023-01-24,233,1 PLATE,3.5g,29.6g,0.7g,2.4g,0g,6.1g,48.3mg,1.6g,427.5mg,21.7g,53.5mg,2.8mg,0mcg,294.8mg
Adobo Cod With Parsnip & Peas,McMahon,Dinner,"Milk, Fish",['Gluten Friendly'],2023-01-24,322,1 PLATE,13.5g,27.1g,7.6g,7.7g,0g,9.5g,77.3mg,0g,652.2mg,24g,54.8mg,1.6mg,0mcg,308.7mg
Marinara Sauce,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Penne Pasta,McMahon,Dinner,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Pork Loin Wrapped In Bacon,McMahon,Dinner,"Milk, Soybeans",['Gluten Friendly'],2023-01-24,387,1 PLATE,20g,19.3g,8.1g,3.4g,0g,4.1g,107.7mg,0g,913.1mg,33.7g,59.9mg,3.7mg,0.3mcg,555.7mg
Shakshuka With Naan,McMahon,Dinner,"Milk, Eggs, Wheat, Soybeans, Sesame",['Vegetarian'],2023-01-24,282,1 PLATE,13.8g,24.9g,4.1g,1.9g,0g,7.2g,226.1mg,0.5g,935.5mg,11.8g,125.5mg,2mg,0mcg,84.3mg
Chef's Choice Soup du Jour,McMahon,Dinner,,[],2023-01-24,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Bacon Wrapped Pork Loin,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-24,247,4 OZ,13.6g,0.1g,4.8g,0g,0g,0g,93.2mg,0g,212mg,28.6g,0.4mg,1.3mg,0mcg,1.3mg
Mushroom Gravy,McMahon,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium']",2023-01-24,10,1 OZL,0.3g,1.5g,0g,0.1g,0g,0.6g,0.7mg,0g,467.3mg,0.8g,4mg,0.1mg,0.1mcg,18.6mg
Roasted Asparagus,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,20,3 OZ,0.4g,3.4g,0.1g,1.7g,0g,1.5g,0mg,0g,38mg,1.9g,20.9mg,1.8mg,0mcg,170.1mg
Roasted Garlic Mashed Potatoes,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,110,3 OZ,5.8g,14.4g,3.3g,1.6g,0g,2g,13.8mg,0g,195.8mg,2.5g,34.6mg,0.6mg,0.2mcg,365.7mg
Carrot and Snow Pea Stir Fry,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,47,3 OZ,1.3g,6.9g,0.1g,2.3g,0g,4.1g,0mg,0g,112mg,2.1g,31.5mg,1.3mg,0mcg,227.7mg
Pickled Cucumber,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,7,1 OZ,0g,1.8g,0g,0.1g,0g,1.4g,0mg,1.2g,79.1mg,0.1g,2.6mg,0mg,0mcg,23.2mg
White Rice,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-24,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Yakitori Chicken,McMahon,Dinner,"Wheat, Soybeans, Sesame","['Less Sodium', 'Smart Check']",2023-01-24,89,1 EACH,2.1g,0.6g,0.5g,0g,0g,0.5g,48.3mg,0.5g,234mg,17.4g,0mg,0.4mg,0mcg,mg
Grilled Naan With Olive Oil And Za'atar,McMahon,Dinner,"Milk, Eggs, Wheat, Soybeans, Sesame","['Less Sodium', 'Vegetarian']",2023-01-24,81,2 PIECES,2.4g,11.5g,0.3g,0g,0g,0.5g,2.5mg,0.5g,221.7mg,2g,21.5mg,0.5mg,0mcg,24.5mg
Shakshuka,McMahon,Dinner,"Milk, Eggs","['Gluten Friendly', 'Vegetarian']",2023-01-24,201,1 EACH,11.4g,13.4g,3.8g,1.9g,0g,6.7g,223.6mg,0g,713.8mg,9.8g,104mg,1.5mg,0mcg,59.8mg
Adobo Cod,McMahon,Dinner,"Milk, Fish","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-24,98,1 EACH,2.7g,0g,1.2g,0g,0g,0g,50mg,0g,232mg,18g,18mg,0.3mg,0mcg,0mg
Parsnip Puree,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,142,4 OZ,8.6g,15.6g,5.4g,3.9g,0g,3.7g,22.8mg,0g,291.2mg,1.2g,36.4mg,0.5mg,0mcg,307.1mg
Peas with Lemon Butter and Mint,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-24,110,4 OZ,2.9g,15.4g,1.4g,5.1g,0g,7.7g,6.1mg,0g,172mg,6.4g,0.6mg,0.9mg,0mcg,2mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Taco Tuesday,McMahon,Dinner,,[],2023-01-24,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Chef's Choice Pizza,McMahon,Dinner,"Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2023-01-24,123,1/16 PIZZA,2.8g,20.4g,0.4g,1.2g,0g,1.6g,0mg,0.4g,186mg,3.6g,12.2mg,1.2mg,0mcg,27.8mg
Midnight Choc Cake w/ Chocolate Frosting,McMahon,Dinner,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-24,308,1/35 HFSHT,15.2g,37.9g,8.8g,1g,0.2g,25.6g,15.9mg,0g,329.6mg,2.7g,17.1mg,1.6mg,0mcg,81.6mg
Chefs Omelet Du Jour,McMahon,Breakfast,"Milk, Eggs, Soybeans",[],2023-01-25,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
French Toast,McMahon,Breakfast,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-25,315,2 SLICES,9.9g,36.6g,2.9g,0g,0g,4.6g,263.4mg,2g,486mg,16.9g,180.3mg,3.6mg,2.6mcg,169.2mg
Hard Boiled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Mini Potato Pancakes,McMahon,Breakfast,"Soybeans, Gluten","['Vegetarian', 'Vegan']",2023-01-25,216,4 OZ,13.7g,23.9g,1.3g,1.5g,0g,1.5g,0mg,0g,552.1mg,1.5g,0mg,0mg,mcg,358.1mg
Oatmeal Hot Cereal,McMahon,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,106,8 OZL,2.1g,19.1g,0.4g,2.8g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Sausage Patties,McMahon,Breakfast,,"['Gluten Friendly', 'Less Sodium']",2023-01-25,253,2 EACH,24.3g,0g,9.1g,0g,0g,0g,40.5mg,0g,546.8mg,8.1g,0mg,0.4mg,mcg,mg
Scrambled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Blueberry Coffee Cake,McMahon,Breakfast,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,248,1/35 HFSHT,7.1g,42g,2.2g,0.6g,0g,20.3g,0mg,19.6g,175.4mg,3.2g,19.2mg,0.9mg,0mcg,40.6mg
Inihaw Na Manok,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Smart Check']",2023-01-25,223,1 PLATE,3g,30.1g,0.7g,1.3g,0g,8.3g,48.3mg,2.6g,325mg,20.3g,40.5mg,1.8mg,0mcg,209.4mg
Gemelli,McMahon,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Indian Bar,McMahon,Lunch,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Marinara Sauce,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Roasted Chicken With North African Spice Paste,McMahon,Lunch,,['Gluten Friendly'],2023-01-25,339,1 PLATE,21.1g,16.9g,2.2g,4.1g,0g,2.1g,48.3mg,0g,803.9mg,21.9g,70.7mg,3.1mg,0mcg,341.5mg
Yakisoba,McMahon,Lunch,"Fish, Wheat, Soybeans",[],2023-01-25,387,1 PLATE,6.9g,71g,0.7g,2.7g,0g,8.3g,1mg,2.8g,1472.1mg,11.4g,120.4mg,4.1mg,0mcg,117.3mg
Chef's Choice Soup du Jour,McMahon,Lunch,,[],2023-01-25,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Chicken With North African Spice Paste,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,108,1 EACH,4.1g,1.2g,0.8g,0.5g,0g,0g,48.3mg,0g,213.9mg,17.4g,8.8mg,0.7mg,0mcg,21.9mg
Pigeon Peas,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,60,3 OZ,0.8g,10.6g,0.1g,2.9g,0g,0.4g,0mg,0g,294mg,2.9g,17.6mg,0.8mg,0mcg,19.6mg
Swiss Chard Salad,McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,129,3 OZ,12.1g,3.8g,1g,0.6g,0g,1.3g,0mg,0g,222mg,1.2g,33.2mg,1.2mg,0mcg,225mg
Garlic Fried Rice (Sinangag),McMahon,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,129,4 OZ,0.9g,27g,0.1g,0.1g,0g,0.1g,0mg,0g,94.3mg,3g,31.8mg,1.5mg,0mcg,74.4mg
Inihaw Na Manok Marinade,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,91,1 EACH,2.2g,1.2g,0.5g,0g,0g,1g,48.3mg,1g,184.5mg,17.3g,0.8mg,0.4mg,0mcg,1.8mg
Mango And Daikon Salad,McMahon,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,14,1 OZ,0.1g,3.5g,0g,0.5g,0g,2.9g,0mg,0.6g,27.9mg,0.3g,6.3mg,0.1mg,0mcg,60.7mg
Yakisoba,McMahon,Lunch,"Fish, Wheat, Soybeans",[],2023-01-25,387,8 OZ,6.9g,70.9g,0.7g,2.7g,0g,8.3g,1mg,2.8g,1470.1mg,11.3g,117.1mg,4.1mg,0mcg,109.3mg
Cheese Pizza,McMahon,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Spicy Kale With Ricotta And Peppadew Peppers,McMahon,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,251,1 PLATE,11.7g,27.4g,3.8g,1.3g,0g,3.7g,15.6mg,1.6g,283.2mg,9.2g,168.8mg,2mg,0mcg,83.3mg
Chocolate Streusel Brownies,McMahon,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,227,1/96 SHEET,10.1g,31.5g,2.9g,1.1g,0g,23.2g,18.5mg,18.5g,151.9mg,1.9g,13.9mg,1.9mg,0.1mcg,89.9mg
Ranger Cookies,McMahon,Lunch,"Wheat, Soybeans, Coconut, The UConn bakery uses coconut (a tree nut).","['Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,180,1 EACH,9g,24g,5g,0g,0g,10g,0mg,0g,125mg,2g,26mg,0.4mg,mcg,0mg
Green Curry Vegetable,McMahon,Dinner,"Soybeans, Sesame, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-01-25,250,1 PLATE,5.4g,45.5g,3g,2.5g,0g,5g,0mg,0.6g,366.4mg,6.9g,53.5mg,1.7mg,0.1mcg,423.2mg
Dijon Chicken With Olive Oil Crushed Potato,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium']",2023-01-25,407,1 PLATE,16.8g,24.8g,2.9g,4.7g,0g,2.7g,164.1mg,0g,393.6mg,41.2g,144.6mg,5.1mg,0mcg,1052.7mg
Gemelli,McMahon,Dinner,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Puerto Rican Roast Pork With Rice And Beans,McMahon,Dinner,Gluten,[],2023-01-25,690,1 PLATE,39.7g,52.6g,11.3g,1.1g,0g,22.2g,102.6mg,0g,1465.6mg,32.1g,36.4mg,3.5mg,0mcg,525.4mg
Tostones with Chipotle Sour Cream and Pico,McMahon,Dinner,"Milk, Gluten",['Vegetarian'],2023-01-25,596,1 PLATE,43.9g,49g,8g,2.9g,0g,19.4g,18mg,0g,882.4mg,6.4g,66.9mg,1.9mg,0mcg,945.6mg
Chef's Choice Soup du Jour,McMahon,Dinner,,[],2023-01-25,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Fried Plantains,McMahon,Dinner,Gluten,"['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,294,3 EACH,15.4g,38.8g,1.6g,1.5g,0g,32.8g,0mg,0g,0mg,0.7g,5.2mg,0.4mg,0mcg,552.1mg
Pernil,McMahon,Dinner,,['Gluten Friendly'],2023-01-25,372,4 OZ,29.3g,0.5g,10.3g,0.1g,0g,0g,102.6mg,0g,1165.4mg,27.9g,3.6mg,1.6mg,0mcg,6.1mg
Rice And Beans,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,183,6 OZ,0.1g,39.4g,0g,0.1g,0g,0.5g,0mg,0g,450.3mg,5.5g,44mg,2.3mg,0mcg,226.8mg
Black Bean Hummus,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,212,2 OZ,19.4g,7.6g,2.7g,0.1g,0g,0.8g,0mg,0g,191mg,2.4g,19mg,0.8mg,0mcg,170.7mg
Chipotle Sour Cream,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-25,28,1 TBL,2.3g,1g,1.6g,0g,0g,0.5g,9mg,0g,32.9mg,0.5g,14.1mg,0mg,0mcg,21.1mg
Fresh Salsa,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,6,1 OZ,0.1g,1.4g,0g,0.1g,0g,1g,0mg,0g,29.7mg,0.3g,3.6mg,0.1mg,0mcg,67.7mg
Tostones,McMahon,Dinner,Gluten,"['Vegetarian', 'Vegan']",2023-01-25,209,3 PIECES,10.2g,32.7g,0.8g,2.4g,0g,15.4g,0mg,0g,470.7mg,1.3g,3.1mg,0.6mg,0mcg,512mg
Green Curry Sauce,McMahon,Dinner,"Soybeans, Coconut","['Gluten Friendly', 'Contains Nuts', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,79,4 OZL,6.5g,3.9g,5.5g,0.9g,0g,1.9g,0mg,0.6g,503.7mg,1.7g,27mg,1mg,0mcg,217.2mg
Green Curry Vegetable,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,50,4 OZ,1g,9g,0.1g,2g,0g,4g,0mg,0.3g,109mg,2.4g,27.8mg,0.8mg,0.1mcg,291.7mg
Rice Noodles With Sesame And Cilantro,McMahon,Dinner,Sesame,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,161,4 OZ,1.1g,34.5g,0.2g,0.1g,0g,0g,0mg,0g,5.5mg,3.6g,12.2mg,0.4mg,0mcg,22.9mg
Dijon Chicken,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-25,229,1 EACH,8g,0.1g,1.7g,0.4g,0g,0g,164.1mg,0g,214.1mg,35.4g,34.1mg,1.8mg,0mcg,1.5mg
Olive Oil Crushed Potato,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,149,4 OZ,8g,20.3g,1.1g,2.4g,0g,2.3g,0mg,0g,75mg,3.1g,19.4mg,0.9mg,0mcg,561.2mg
Sauteed Spinach With Garlic,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-25,29,3 OZ,0.8g,4.3g,0.1g,2g,0g,0.4g,0mg,0g,104.5mg,2.7g,91.1mg,2.4mg,0mcg,490mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Nacho Bar,McMahon,Dinner,,[],2023-01-25,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Cheese Pizza,McMahon,Dinner,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-25,259,1 PLATE,12.3g,25.2g,5.6g,1.1g,0g,2.4g,25.7mg,0.5g,485.2mg,13.1g,263.7mg,1.5mg,0mcg,33.6mg
Philly Steak Pizza,McMahon,Dinner,"Milk, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).",[],2023-01-25,313,1 PLATE,15.6g,25.2g,7.4g,0.8g,0g,1.2g,43.4mg,0.5g,731.3mg,17.5g,362.4mg,2mg,0.1mcg,45.7mg
Lemon Delights,McMahon,Dinner,"Milk, Eggs, Wheat, Soybeans","['Less Sodium', 'Vegetarian']",2023-01-25,238,1 EACH,10.5g,34.6g,7g,0g,0g,22.2g,15.4mg,6.9g,161.2mg,2.1g,0mg,0.7mg,0mcg,35.9mg
Breakfast Potatoes,McMahon,Breakfast,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-06,126,4 OZ,3g,22.7g,1g,0.2g,0g,0g,0mg,0g,350.1mg,1.5g,2.2mg,0.1mg,0mcg,9.6mg
Chefs Omelet Du Jour,McMahon,Breakfast,"Milk, Eggs, Soybeans",[],2023-02-06,293,1 EACH,20.1g,1.5g,9.3g,0g,0g,0.5g,478.6mg,0g,507.5mg,22.1g,236.4mg,2.9mg,2.7mcg,203.7mg
French Toast Stix,McMahon,Breakfast,"Wheat, Soybeans, Gluten",['Vegetarian'],2023-02-06,540,5 EACH,34.3g,54.7g,2.9g,1.3g,0g,12.7g,0mg,12.7g,572.3mg,6.4g,25.4mg,3.2mg,0mcg,63.6mg
Hard Boiled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,150,2 EACH,10g,2g,3g,0g,0g,0g,430mg,0g,140mg,12g,40mg,1.4mg,0mcg,mg
Oatmeal Hot Cereal,McMahon,Breakfast,Gluten,"['Less Sodium', 'Smart Check', 'Vegetarian', 'Vegan']",2023-02-06,106,8 OZL,2.1g,19.1g,0.4g,2.8g,0g,0.7g,0mg,0g,82.1mg,3.5g,18.7mg,1.1mg,0mcg,106.3mg
Pork Sausage Links,McMahon,Breakfast,,['Gluten Friendly'],2023-02-06,202,2 EACH,19.2g,0g,7.1g,0g,0g,0g,35.3mg,0g,433.4mg,6g,26.2mg,0.4mg,mcg,mg
Scrambled Eggs,McMahon,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-02-06,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Chocolate Chip Bread,McMahon,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-02-06,255,1/16 LOAF,10.8g,38g,5.2g,0.7g,0g,23.1g,39.9mg,0g,187.2mg,3.1g,13.9mg,1.2mg,0mcg,61.2mg
