Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Roasted Green Beans,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-09,33,3 OZ,0.5g,6.9g,0.1g,2.8g,0g,3.2g,0mg,0g,14.5mg,1.7g,38.5mg,0.6mg,0mcg,127.6mg
Root Beer Glazed Ham,McMahon,Dinner,Milk,['Gluten Friendly'],2023-02-09,191,4 OZ,8.8g,6.2g,2.9g,0.1g,0g,6.1g,72.8mg,0g,1221.9mg,20.4g,0.8mg,1.1mg,0mcg,4.8mg
Grilled Asparagus,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-09,22,3 OZ,0.6g,3.3g,0.1g,1.7g,0g,1.6g,0mg,0g,86.1mg,1.9g,20.4mg,1.8mg,0mcg,171.2mg
Miso Dressing,McMahon,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Less Sodium']",2023-02-09,48,1 OZL,3g,4g,0.4g,0g,0g,3.7g,0mg,2.8g,467.2mg,1g,3.4mg,0.2mg,0mcg,20.5mg
Roasted Spaghetti Squash,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-09,63,4 OZ,4g,7.2g,0.6g,1.6g,0g,2.7g,0mg,0g,441.3mg,0.7g,24.2mg,0.4mg,0mcg,130.7mg
Scrod With Miso Butter,McMahon,Dinner,"Milk, Fish, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-02-09,89,1 EACH,1.6g,0.2g,0.4g,0g,0g,0.1g,46.8mg,0g,118.7mg,18.1g,18.7mg,0.3mg,0mcg,4.5mg
Cauliflower Fried Rice,McMahon,Dinner,"Soybeans, Sesame","['Gluten Friendly', 'Vegetarian', 'Vegan']",2023-02-09,225,6 OZL,17.3g,13.9g,1.6g,3.1g,0g,4.5g,0mg,0g,725.2mg,7.5g,51.8mg,1mg,0mcg,373.4mg
Root Vegetable Hash,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-02-09,76,3 OZ,3.6g,10.7g,0.3g,1.7g,0g,2.5g,0mg,0.1g,200.7mg,1.4g,22mg,0.4mg,0mcg,287.1mg
Seared Chicken Breast,McMahon,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-02-09,91,1 EACH,2.7g,0.1g,0.6g,0g,0g,0g,48.3mg,0g,190mg,17.2g,0.3mg,0.4mg,0mcg,1.1mg
Tarragon Cream Sauce,McMahon,Dinner,Milk,"['Gluten Friendly', 'Less Sodium']",2023-02-09,18,1 OZL,1.4g,0.8g,1g,0.2g,0g,0.2g,5mg,0g,42.1mg,0.5g,99.1mg,0mg,0mcg,4.1mg
