Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Scrambled Eggs,North,Breakfast,Eggs,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2/10/2023,132,3 OZ,8.5g,0g,2.8g,0g,0g,0g,320mg,0g,122.4mg,11.3g,48.9mg,2mg,1.9mcg,122.4mg
Cranberry Orange Bread,North,Breakfast,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2/10/2023,260,1/16 LOAF,10g,40.1g,4.5g,0.8g,0g,23.5g,44.9mg,0g,210.6mg,3g,16.1mg,1.1mg,0mcg,50.1mg
Sticky Rice,North,Breakfast,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,139,3 OZ,0.2g,30.7g,0g,0g,0g,0g,0mg,0g,1.9mg,2.6g,5mg,0.3mg,0mcg,33.7mg
Omelet Bar,North,Breakfast,,[],2/10/2023,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Frittata,North,Breakfast,"Milk, Eggs","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2/10/2023,136,1 WEDGE,10.9g,2.5g,2.5g,0.2g,0g,1.1g,216.3mg,0g,227.9mg,6.6g,47mg,0.8mg,0.3mcg,12.6mg
Baked Parmesan Ranch Chicken Breast,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2/10/2023,108,1 EACH,4.2g,0.3g,0.9g,0.1g,0g,0g,49.6mg,0g,163mg,17.7g,15.1mg,0.5mg,0mcg,6.9mg
Crab Melt,North,Lunch,"Milk, Eggs, Fish, Crustacean Shellfish, Wheat, Soybeans",[],2/10/2023,287,1 ea,14.5g,26.7g,9.1g,0.8g,0g,4.6g,52.2mg,1.8g,805.8mg,13.5g,154.8mg,1mg,0.3mcg,96.2mg
Bread Boule,North,Lunch,"Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2/10/2023,321,1 EACH,2.4g,61.2g,0.5g,1.6g,0g,0.4g,0mg,0g,509.8mg,11.9g,2.2mg,4.1mg,0mcg,102.3mg
Charlie's Clam Chowder,North,Lunch,"Milk, Wheat",[],2/10/2023,293,6 OZL,17.8g,15.2g,11g,0.1g,0g,4.5g,75.4mg,0g,764.2mg,7.6g,1601.4mg,1.3mg,0mcg,55.9mg
Chef's Choice Soup du Jour,North,Lunch,,[],2/10/2023,26,6 OZL,0.3g,3.9g,0g,0.4g,0g,1.4g,0mg,0g,307.6mg,0.9g,12.2mg,0mg,0mcg,8.7mg
Au Gratin Potatoes,North,Lunch,"Milk, Soybeans","['Less Sodium', 'Vegetarian']",2/10/2023,135,1/2 CUP,5.3g,18.4g,2.3g,0g,0g,3.5g,10.5mg,1.5g,428.6mg,2.5g,79.4mg,0.3mg,0mcg,340.2mg
Baked Beans,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,138,4 OZ,0g,27.8g,0g,0.8g,0g,12.3g,0mg,9.4g,365.4mg,8g,43.3mg,1.6mg,0mcg,319.7mg
Baked Sesame Nuggets,North,Lunch,"Wheat, Soybeans, Sesame","['Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,222,4 OZ,9.9g,24.7g,0g,4.9g,0g,0g,0mg,0g,369.8mg,14.8g,98.6mg,3.6mg,0mcg,mg
Buffalo Cauliflower,North,Lunch,Soybeans,"['Gluten Friendly', 'Vegetarian', 'Vegan']",2/10/2023,84,5 OZ,3.7g,11.3g,0.6g,4.6g,0g,4.3g,0mg,0g,520.1mg,4.3g,50.7mg,1mg,0mcg,676.9mg
Meat Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium']",2/10/2023,145,4 OZL,8.8g,9.6g,2.7g,1.6g,0.3g,8g,20.2mg,0g,399.3mg,7g,37.4mg,1.9mg,0mcg,mg
Sauteed Spinach With Garlic,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,39,4 OZ,1.1g,5.8g,0.1g,2.6g,0g,0.5g,0mg,0g,139.3mg,3.6g,121.5mg,3.2mg,0mcg,653.4mg
Sticky Rice,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Beef Burger No Bun,North,Lunch,,"['Gluten Friendly', 'Less Sodium']",2/10/2023,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Cheese Sauce,North,Lunch,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2/10/2023,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Cross Trax French Fries,North,Lunch,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2/10/2023,253,4 OZ,18.9g,21g,1.8g,2g,0g,0g,0mg,0g,550.3mg,2g,0mg,0.7mg,0mcg,240.1mg
Grilled Cheese,North,Lunch,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2/10/2023,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
Grilled Chicken Breast,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2/10/2023,86,1 EACH,2.1g,0g,0.5g,0g,g,0g,48.3mg,0g,145mg,17.2g,mg,0.4mg,mcg,mg
Grilled Hot Dogs,North,Lunch,,['Gluten Friendly'],2/10/2023,172,1 EACH,15.2g,2g,5.1g,0g,0g,1g,30.4mg,0g,587.3mg,7.1g,26.3mg,0.7mg,mcg,mg
"Grilled Turkey, Bacon & Swiss Sandwich",North,Lunch,"Milk, Eggs, Wheat, Soybeans",[],2/10/2023,317,1/2 EACH,18.4g,20.5g,7.8g,1g,0g,2.2g,44.4mg,0g,685mg,17.6g,306.1mg,1.4mg,0mcg,0mg
Tomato Soup,North,Lunch,Wheat,"['Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,63,6 OZL,0g,14g,0g,0g,0g,8.4g,0mg,4.9g,338.8mg,1.4g,16.5mg,0.5mg,0mcg,202.7mg
Omelet Bar,North,Lunch,,[],2/10/2023,0,1 BAR,0g,0g,0g,0g,0g,0g,0mg,0g,36.3mg,0g,27.2mg,0mg,0mcg,0mg
Chef's Choice Pasta Du Jour,North,Lunch,Wheat,[],2/10/2023,212,4 OZ,3.6g,36.8g,0.4g,1.8g,0g,1.8g,0mg,0g,0mg,6.3g,0mg,1.6mg,0mcg,0mg
Marinara Sauce,North,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Cheese Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2/10/2023,152,1/16 PIE,4.9g,20g,2.4g,1g,0g,1.8g,11.4mg,0.4g,303.6mg,7.3g,120.4mg,1.3mg,0mcg,26.5mg
Pepperoni Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2/10/2023,178,1/16 PIE,7.3g,20g,3.3g,1g,0g,1.8g,17mg,0.4g,397.3mg,8.4g,124.2mg,1.3mg,0mcg,26.5mg
Special Pizza,North,Lunch,"Milk, Wheat, The UConn bakery uses coconut (a tree nut).",['Less Sodium'],2/10/2023,149,1/16 PIE,4.9g,19.3g,2.4g,0.8g,0g,1.4g,11.4mg,0.4g,291.9mg,7.2g,118.5mg,1.2mg,0mcg,26.5mg
Chocolate Brownies,North,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2/10/2023,203,1/96 SHEET,8.8g,28.4g,2g,1g,0g,21.3g,14.2mg,19.2g,122.1mg,1.5g,12.4mg,1.7mg,0.1mcg,76.3mg
Oatmeal Raisin Cookies,North,Lunch,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,140,1 EACH,4.5g,22g,1.5g,0g,0g,13g,0mg,8g,85mg,2g,9mg,0.7mg,0mcg,82mg
Grilled Chicken Athena,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2/10/2023,97,1 EACH,3g,1g,0.7g,0.2g,0g,0.4g,48.3mg,0g,204.7mg,17.4g,4.6mg,0.6mg,0mcg,46.5mg
Crispy Dijon Scrod,North,Dinner,"Fish, Soybeans","['Gluten Friendly', 'Less Sodium', 'Smart Check']",2/10/2023,51,1 EACH,1.5g,4.4g,0.4g,0.5g,0g,0.3g,11.3mg,0g,116.3mg,5.7g,18.1mg,1.3mg,0.2mcg,11mg
Basmati Rice,North,Dinner,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,178,4 OZ,2.6g,34.9g,0.8g,0g,0g,0g,0mg,0g,23.8mg,2.9g,2.1mg,0mg,0mcg,0mg
Chickpea Rotini With Roasted Peppers and White Beans,North,Dinner,,"['Gluten Friendly', 'Smart Check', 'Vegetarian', 'Vegan']",2/10/2023,159,6 OZ,3.5g,26.1g,0.1g,6.2g,0g,6.3g,0mg,0g,592.5mg,9.3g,69.3mg,3.6mg,0mcg,125.1mg
Fresh Cut Zucchini,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,15,3 OZ,0.3g,2.8g,0.1g,0.8g,0g,2g,0mg,0g,7.1mg,1.1g,14.2mg,0.3mg,0mcg,230.9mg
Kapusta & Chorizo,North,Dinner,,['Gluten Friendly'],2/10/2023,356,6 OZ,29.9g,7.8g,12.2g,1.6g,0g,4g,83mg,0g,895.1mg,13.2g,34.5mg,1.4mg,0mcg,173.5mg
Meat Sauce,North,Dinner,,"['Gluten Friendly', 'Less Sodium']",2/10/2023,145,4 OZL,8.8g,9.6g,2.7g,1.6g,0.3g,8g,20.2mg,0g,399.3mg,7g,37.4mg,1.9mg,0mcg,mg
Sticky Rice,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,185,4 OZ,0.3g,41g,0g,0g,0g,0g,0mg,0g,2.5mg,3.4g,6.6mg,0.4mg,0mcg,44.9mg
Sweet Potato Gratin,North,Dinner,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2/10/2023,239,4 OZ,17.6g,12.9g,13.7g,1.9g,0g,2.6g,68.6mg,0g,234.6mg,4.3g,1282mg,0.4mg,0mcg,216.2mg
Tuscan White Beans,North,Dinner,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2/10/2023,129,6 OZ,4.5g,16.7g,0.6g,4.5g,0g,3.5g,0mg,0g,479.3mg,4.5g,74.4mg,1.7mg,0mcg,343.3mg
Beef Burger No Bun,North,Dinner,,"['Gluten Friendly', 'Less Sodium']",2/10/2023,247,1 EACH,15.7g,0g,5.9g,0g,0.7g,0g,80.7mg,0g,82.6mg,24.5g,25.4mg,2.5mg,0mcg,344.7mg
Cheese Sauce,North,Dinner,"Milk, Soybeans","['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2/10/2023,70,2 OZL,5g,4g,2g,0g,0g,1g,10mg,0g,500mg,2g,104mg,0mg,mcg,mg
Cross Trax French Fries,North,Dinner,"Wheat, Soybeans, Gluten","['Vegetarian', 'Vegan']",2/10/2023,253,4 OZ,18.9g,21g,1.8g,2g,0g,0g,0mg,0g,550.3mg,2g,0mg,0.7mg,0mcg,240.1mg
Grilled Cheese,North,Dinner,"Milk, Wheat, Soybeans","['Vegetarian', 'A vegetarian or vegan entree offfered at lunch or dinner that does not contain onions or garlic.']",2/10/2023,279,1 EACH,15.5g,25g,9.3g,2g,0g,3g,40.5mg,2g,786.8mg,9.1g,171.6mg,1.3mg,0.1mcg,120.8mg
